players,coalitions,budget,exact_shapley_seconds,sampled_seconds,mae,max_error,sign_agreement,efficiency_gap,player_library
6,64,32,0.00029133306816220284,0.0007136659696698189,0.0021875000000000015,0.005312499999999991,1.0,1.3877787807814457e-17,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance
6,64,128,0.00029133306816220284,0.0010584580013528466,0.0018229166666666773,0.0025781250000000075,1.0,2.7755575615628914e-17,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance
6,64,512,0.00029133306816220284,0.002622291911393404,0.0018033854166666528,0.0035546875000000006,1.0,8.326672684688674e-17,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance
6,64,2048,0.00029133306816220284,0.005384291987866163,0.00037923177083339896,0.0007861328124999303,1.0,3.7470027081099033e-16,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance
8,256,32,0.000729291932657361,0.0001325419871136546,0.0017187500000000033,0.0034374999999999996,1.0,0.0,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance;session_length_cap;freshness_quota
8,256,128,0.000729291932657361,0.0004070829600095749,0.0023632812499999843,0.00484374999999999,0.875,0.0,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance;session_length_cap;freshness_quota
8,256,512,0.000729291932657361,0.00145483308006078,0.0013818359374999831,0.002539062499999991,0.875,2.7755575615628914e-17,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance;session_length_cap;freshness_quota
8,256,2048,0.000729291932657361,0.005818292032927275,0.0004516601562499497,0.0010351562500000057,1.0,1.3877787807814457e-16,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance;session_length_cap;freshness_quota
10,1024,32,0.003377458080649376,0.00018212490249425173,0.0052500000000000316,0.013437500000000002,0.9,1.3877787807814457e-17,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance;session_length_cap;freshness_quota;provider_cooldown;category_coverage_quota
10,1024,128,0.003377458080649376,0.00044008297845721245,0.002625000000000021,0.004765625000000093,1.0,0.0,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance;session_length_cap;freshness_quota;provider_cooldown;category_coverage_quota
10,1024,512,0.003377458080649376,0.0017008750000968575,0.0011992187500000158,0.0019726562499999354,1.0,4.163336342344337e-17,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance;session_length_cap;freshness_quota;provider_cooldown;category_coverage_quota
10,1024,2048,0.003377458080649376,0.006232165964320302,0.0002802734374999807,0.0007666015624999021,1.0,3.5388358909926865e-16,repeat_cap;explore_slot;tail_slot;diversify;novel_slot;provider_balance;session_length_cap;freshness_quota;provider_cooldown;category_coverage_quota
