dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,metric,mean,ci95_low,ci95_high,n_users,n_seeds,missing_users
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,aia,0.44942518937932346,0.3916398531604451,0.5049889294813074,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,aia_ndcg,0.3683009668705503,-0.17044961258299604,0.810497879236778,6,5,244
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,faithfulness_alignment,0.5730582514096894,0.5254843211354798,0.6183595374848132,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,actionability_gap,-0.12363306203036592,-0.16905522989596072,-0.0834152044410613,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,signed_alignment,0.06027626070076438,-0.0012179153521653134,0.12195177270255231,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,signed_alignment_ndcg,0.6236427681320299,0.35515607797529847,0.8160928578619052,6,5,244
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,direction_accuracy,0.6097928444104915,0.5865885610304727,0.6326040834818776,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,direction_accuracy_ndcg,0.6944444444444445,0.38888888888888884,0.9444444444444445,6,5,244
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,top1_precision,0.028,0.008,0.04809999999999855,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,top3_precision,0.24266666666666664,0.21333333333333332,0.2733333333333333,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,top5_precision,0.20753333333333335,0.18053333333333332,0.23453333333333334,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,joint_effect_primary,-0.0010470257804664764,-0.001350793309823153,-0.000742938774087504,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,joint_effect_ndcg,0.0024659794897988396,0.0,0.005863917959195359,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,joint_effect_target_margin,-0.0010470257804664764,-0.0013421085655308709,-0.0007416963892316786,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,intervention_success,0.34,0.28,0.4,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,abstention,0.0,0.0,0.0,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,joint_regret_primary,0.003051701332236955,0.0027390837006817706,0.0033817727138614135,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,normalized_regret_primary,4.505814787270545,2.0065793429936765,9.150839575437926,215,5,35
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,joint_regret_ndcg,0.0024895926386048844,0.0,0.006101952586572659,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,normalized_regret_ndcg,0.41938200260161124,0.01938200260161126,0.8193820026016112,5,5,245
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,intervention_success_ndcg,0.012,0.0,0.028,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,aia_null_mean,0.0009986307807697329,-0.0021323112408904742,0.004154294089059623,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,aia_null_p95,0.7835808698668508,0.7583081280160492,0.8084889845606791,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,aia_permutation_p,0.315009900990099,0.2846249504950495,0.3457346534653466,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,aia,0.7215169201592685,0.6767789850602236,0.7639685500833658,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,aia_ndcg,0.1712587719036708,-0.4284205966552152,0.7497468226363525,6,5,244
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,faithfulness_alignment,0.9215359318931166,0.9012952657756512,0.9386175318304985,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,actionability_gap,-0.200019011733848,-0.2423122324690957,-0.16029118816320492,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,signed_alignment,0.9340014252571249,0.9151313498426458,0.9500896933200167,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,signed_alignment_ndcg,0.7096807291348363,0.4070154592375548,0.9330127018922193,6,5,244
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,direction_accuracy,0.8753511391223155,0.8571515875137935,0.8931467206731176,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,direction_accuracy_ndcg,0.9166666666666666,0.75,1.0,6,5,244
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,top1_precision,0.4688,0.4104,0.5272,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,top3_precision,0.3194666666666667,0.27626666666666666,0.36267333333333324,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,top5_precision,0.24365333333333333,0.209693,0.27952033333333337,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_effect_primary,0.0013683475499223735,0.0011311090148185099,0.0016253966050390639,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_effect_ndcg,0.002595192840476248,0.0,0.0061435327081546505,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_effect_target_margin,0.0013683475499223735,0.001136281164174202,0.001617326728995713,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,intervention_success,0.5392,0.4784,0.6008,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,abstention,0.4608,0.39998000000000006,0.5232,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_regret_primary,0.0006363280018480888,0.0005174942878756045,0.0007592947359111908,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,normalized_regret_primary,0.455559210833423,0.39621546425170356,0.5146232021924597,215,5,35
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_regret_ndcg,0.0023603792879274767,0.0,0.005924878558510878,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,normalized_regret_ndcg,0.4,0.0,0.8,5,5,245
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,intervention_success_ndcg,0.012,0.0,0.028,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,aia_null_mean,0.00061250755313329,-0.0025499779107832914,0.003763244674046674,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,aia_null_p95,0.7825896531625409,0.7573543655132818,0.807476169543924,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,aia_permutation_p,0.17684752475247523,0.15355247524752477,0.2026538613861386,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,aia,0.7895246292120621,0.7443626134945387,0.8291258465358237,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,aia_ndcg,0.17183670529731918,-0.4278426632615669,0.7491869744869449,6,5,244
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,faithfulness_alignment,1.0,1.0,1.0,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,actionability_gap,-0.21047537078793796,-0.25439140069162736,-0.17150636234870095,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,signed_alignment,0.9565633743734209,0.9382869301192004,0.9717185525179061,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,signed_alignment_ndcg,0.7102586625284846,0.39925442856441135,0.9330127018922193,6,5,244
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,direction_accuracy,0.8905973644003057,0.8724553451532128,0.9079477391562686,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,direction_accuracy_ndcg,0.9166666666666666,0.75,1.0,6,5,244
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,top1_precision,0.5,0.44,0.56,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,top3_precision,0.3466666666666666,0.30133333333333334,0.392,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,top5_precision,0.2647333333333334,0.2273983333333333,0.3024666666666667,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,joint_effect_primary,0.0013871405299842932,0.0011494409442102758,0.0016421941832069817,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,joint_effect_ndcg,0.002595192840476248,0.0,0.0060948760571433195,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,joint_effect_target_margin,0.0013871405299842932,0.0011526249083676544,0.0016341156321217775,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,intervention_success,0.544,0.484,0.604,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,abstention,0.456,0.392,0.5160999999999986,250,5,0
